id,label,verified,note
train-001304,10850,10750,"7000*3/4 + 5000*4/5 + 3000*1/2 = 10750. 단순 합산 오류"
train-002826,5,3,"217*45=9765 이고 9765 mod 6 = 3"
train-007033,49,77,"14+7+56=77. 라벨 49는 수요일을 화요일의 4배로 계산한 값"
train-004489,24,48,"half dozen 4묶음=24개 x $2 = 48. 라벨은 개수를 답으로 넣음"
train-011438,265,266,"266-16=250번째 비제곱수. 라벨 265는 249번째"
train-008514,66,64,"24문항 정답 x2 + 만점 4라운드 x4 = 64"
train-004476,40,80,"초기속력 2D/T=80. 라벨 40은 전체 평균속력"
train-011445,3,5,"QS=5. 라벨 3은 RS 길이"
train-007564,60,30,"0.5x*0.8=0.4x=12 이므로 x=30. 라벨 60이면 24oz가 되어 본문과 모순"
train-004314,27,28,"x>27 이므로 최소 정수 28. 라벨 27은 정확히 75%라 higher than 위반"
train-003766,20,NON_INTEGER,"근의 차 = 8*sqrt(7). 정수가 아니므로 데이터 전제 위반"
train-002665,95,AMBIGUOUS,"간격 수 해석에 따라 90/95/100. 문항 자체가 배치 조건 불충분"
train-015464,2,AMBIGUOUS,"two times cheaper 가 단가인지 총액인지 불명확"
train-003974,30,AMBIGUOUS,"mg를 묻는데 밀도 정보 없음. mg=ml 오타 가정 시 x=3"
